Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.2,499.6,0.2,0.5
0.0,2.2,499.6,0.2,1.0
0.0,2.6,499.2,0.2,1.5
0.0,2.6,499.0,0.4,2.0
0.0,3.0,498.4,0.6,2.5
0.0,4.0,497.4,0.6,3.0
0.0,5.0,496.4,0.6,3.5
0.0,5.4,496.0,0.6,4.0
0.0,6.0,495.4,0.6,4.5
0.0,7.0,494.4,0.6,5.0
0.0,7.0,494.2,0.8,5.5
0.0,7.4,493.6,1.0,6.0
0.0,7.6,493.2,1.2,6.5
0.0,7.6,493.0,1.4,7.0
0.0,8.0,492.0,2.0,7.5
0.0,8.6,491.4,2.0,8.0
0.0,9.6,490.4,2.0,8.5
0.0,10.6,489.2,2.2,9.0
0.0,11.2,488.6,2.2,9.5
0.0,12.2,487.6,2.2,10.0
0.0,13.0,486.8,2.2,10.5
0.0,13.6,486.2,2.2,11.0
0.0,14.4,485.4,2.2,11.5
0.0,15.2,484.6,2.2,12.0
0.0,15.2,484.2,2.6,12.5
0.0,16.0,483.0,3.0,13.0
0.0,17.6,481.0,3.4,13.5
0.0,17.8,480.6,3.6,14.0
0.0,19.4,479.0,3.6,14.5
0.0,20.0,478.4,3.6,15.0
0.0,21.0,477.0,4.0,15.5
0.0,21.2,476.8,4.0,16.0
0.0,21.8,475.4,4.8,16.5
0.0,23.6,473.6,4.8,17.0
0.0,24.2,473.0,4.8,17.5
0.0,25.4,471.8,4.8,18.0
0.2,26.0,470.6,5.2,18.5
0.2,27.4,469.2,5.2,19.0
0.2,28.4,468.2,5.2,19.5
0.2,29.2,467.2,5.4,20.0
0.2,29.6,466.0,6.2,20.5
0.2,30.6,464.6,6.6,21.0
0.2,31.6,463.6,6.6,21.5
0.4,32.6,462.4,6.6,22.0
0.4,33.2,461.6,6.8,22.5
0.6,35.0,459.4,7.0,23.0
0.6,35.8,458.0,7.6,23.5
0.8,35.6,457.4,8.2,24.0
1.2,35.6,456.6,8.6,24.5
1.2,36.6,455.6,8.6,25.0
1.2,37.8,454.2,8.8,25.5
1.6,38.6,452.8,9.0,26.0
1.6,39.6,451.8,9.0,26.5
1.8,40.2,450.0,10.0,27.0
1.8,41.0,448.6,10.6,27.5
2.6,40.6,447.4,11.4,28.0
2.8,41.6,446.2,11.4,28.5
2.8,42.2,444.6,12.4,29.0
3.0,42.2,444.2,12.6,29.5
3.2,43.4,442.8,12.6,30.0
3.4,43.4,442.4,12.8,30.5
3.4,43.8,441.2,13.6,31.0
3.4,44.0,440.4,14.2,31.5
3.4,44.6,438.8,15.2,32.0
3.4,45.6,437.0,16.0,32.5
3.4,46.0,436.2,16.4,33.0
3.6,46.0,435.2,17.2,33.5
4.0,45.6,433.8,18.6,34.0
4.2,46.6,432.2,19.0,34.5
4.4,46.4,431.2,20.0,35.0
4.4,47.0,430.2,20.4,35.5
5.0,47.4,428.6,21.0,36.0
5.4,46.8,427.8,22.0,36.5
5.8,47.0,426.6,22.6,37.0
6.0,47.2,425.6,23.2,37.5
6.2,47.2,423.8,24.8,38.0
6.8,46.4,422.8,26.0,38.5
7.6,46.4,421.0,27.0,39.0
8.4,46.0,419.6,28.0,39.5
8.8,46.4,418.0,28.8,40.0
9.0,46.8,416.6,29.6,40.5
9.4,46.6,415.8,30.2,41.0
9.4,48.0,413.8,30.8,41.5
9.6,49.0,411.6,31.8,42.0
9.8,49.2,410.2,32.8,42.5
10.4,48.4,408.8,34.4,43.0
10.6,48.2,407.8,35.4,43.5
10.8,48.6,406.4,36.2,44.0
10.8,49.8,405.0,36.4,44.5
11.6,49.8,403.2,37.4,45.0
11.6,50.4,401.2,38.8,45.5
12.2,51.6,398.8,39.4,46.0
12.8,51.6,397.4,40.2,46.5
13.0,52.4,395.4,41.2,47.0
13.4,52.0,394.0,42.6,47.5
13.8,52.2,392.4,43.6,48.0
13.8,53.0,390.6,44.6,48.5
14.4,53.4,388.4,45.8,49.0
14.6,54.2,386.2,47.0,49.5
14.8,56.2,383.4,47.6,50.0
15.2,58.4,380.4,48.0,50.5
15.6,59.0,378.8,48.6,51.0
