"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,499,3,0,0
2.0,499,3,0,0
3.0,499,3,0,0
4.0,498,4,0,0
5.0,497,5,0,0
6.0,497,5,0,0
7.0,495,7,0,0
8.0,493,9,0,0
9.0,491,11,0,0
10.0,491,11,0,0
11.0,490,12,0,0
12.0,488,14,0,0
13.0,487,15,0,0
14.0,486,16,0,0
15.0,486,16,0,0
16.0,485,17,0,0
17.0,484,18,0,0
18.0,482,20,0,0
19.0,479,23,0,0
20.0,477,25,0,0
21.0,474,28,0,0
22.0,473,29,0,0
23.0,471,31,0,0
24.0,469,33,0,0
25.0,469,33,0,0
26.0,468,34,0,0
27.0,466,36,0,0
28.0,465,37,0,0
29.0,463,39,0,0
30.0,460,42,0,0
31.0,456,46,0,0
32.0,455,47,0,0
33.0,453,49,0,0
34.0,452,50,0,0
35.0,450,52,0,0
36.0,447,55,0,0
37.0,443,58,0,1
38.0,439,61,1,1
39.0,432,67,2,1
40.0,427,71,3,1
41.0,425,73,3,1
42.0,421,76,4,1
43.0,418,79,4,1
44.0,417,79,5,1
45.0,417,79,5,1
46.0,414,81,6,1
47.0,413,80,7,2
48.0,412,81,7,2
49.0,410,83,7,2
50.0,408,85,7,2
51.0,407,83,10,2
52.0,406,83,10,3
53.0,404,84,11,3
54.0,403,84,12,3
55.0,401,85,13,3
56.0,401,85,13,3
57.0,400,86,13,3
58.0,400,85,14,3
59.0,394,89,14,5
60.0,391,91,14,6
61.0,389,93,14,6
62.0,386,94,14,8
63.0,381,96,15,10
64.0,377,100,15,10
65.0,375,101,16,10
66.0,373,101,16,12
67.0,370,104,16,12
68.0,367,101,20,14
69.0,363,101,24,14
70.0,357,106,25,14
71.0,354,107,26,15
72.0,352,107,26,17
73.0,350,107,28,17
74.0,345,111,29,17
75.0,341,112,31,18
76.0,340,110,31,21
77.0,335,115,31,21
78.0,334,113,32,23
79.0,329,117,33,23
80.0,324,122,33,23
81.0,323,120,35,24
82.0,321,116,39,26
83.0,318,119,39,26
84.0,313,122,41,26
85.0,308,124,43,27
86.0,301,131,43,27
87.0,294,131,47,30
88.0,289,134,49,30
89.0,288,135,49,30
90.0,285,136,49,32
91.0,280,138,52,32
92.0,273,142,53,34
93.0,267,145,55,35
94.0,258,153,56,35
95.0,253,155,58,36
96.0,245,157,62,38
97.0,239,160,64,39
98.0,237,161,64,40
99.0,234,163,64,41
100.0,232,163,65,42
101.0,227,161,67,47
102.0,222,163,70,47
103.0,217,166,70,49
104.0,213,166,74,49
105.0,207,172,74,49
106.0,204,173,76,49
107.0,202,173,78,49
108.0,196,177,80,49
109.0,193,177,82,50
110.0,191,176,84,51
111.0,185,182,84,51
112.0,183,180,86,53
113.0,175,187,86,54
114.0,171,185,92,54
115.0,166,188,93,55
116.0,162,192,93,55
117.0,157,197,93,55
118.0,153,196,94,59
119.0,152,195,95,60
120.0,149,197,95,61
121.0,143,199,98,62
122.0,137,203,98,64
123.0,135,202,98,67
124.0,133,199,101,69
125.0,127,204,101,70
126.0,119,209,104,70
127.0,116,210,106,70
128.0,112,212,107,71
129.0,108,211,108,75
130.0,104,212,109,77
131.0,99,214,110,79
132.0,92,218,112,80
133.0,90,216,114,82
134.0,87,215,118,82
135.0,84,213,119,86
136.0,79,214,120,89
137.0,75,213,122,92
138.0,70,214,123,95
139.0,66,215,125,96
140.0,66,213,126,97
141.0,61,216,128,97
142.0,56,217,128,101
143.0,54,211,129,108
144.0,51,208,131,112
145.0,50,209,131,112
146.0,47,208,133,114
147.0,46,204,137,115
148.0,43,203,138,118
149.0,41,202,139,120
150.0,40,200,140,122
151.0,38,201,140,123
152.0,38,196,142,126
153.0,38,195,143,126
154.0,37,191,143,131
155.0,37,189,144,132
156.0,37,184,145,136
157.0,36,182,147,137
158.0,33,179,150,140
159.0,32,177,152,141
160.0,29,175,155,143
161.0,28,172,158,144
162.0,27,168,160,147
163.0,27,165,163,147
164.0,26,162,166,148
165.0,25,159,168,150
166.0,25,153,171,153
167.0,24,148,173,157
168.0,24,146,174,158
169.0,22,144,176,160
170.0,21,142,176,163
171.0,21,141,177,163
172.0,21,139,179,163
173.0,20,136,182,164
174.0,20,132,184,166
175.0,20,126,186,170
176.0,20,121,189,172
177.0,20,118,191,173
178.0,20,115,193,174
179.0,20,110,196,176
180.0,20,106,198,178
181.0,20,102,200,180
182.0,20,98,202,182
183.0,20,97,203,182
184.0,20,95,203,184
185.0,20,89,205,188
186.0,20,86,206,190
187.0,20,79,210,193
188.0,20,76,210,196
189.0,20,74,211,197
190.0,20,72,212,198
191.0,20,67,216,199
192.0,20,64,219,199
193.0,20,61,220,201
194.0,20,53,225,204
195.0,20,51,227,204
196.0,20,49,228,205
197.0,20,46,230,206
198.0,20,43,232,207
199.0,20,40,234,208
200.0,20,36,237,209
201.0,20,33,239,210
202.0,20,33,239,210
203.0,20,32,240,210
204.0,20,28,244,210
205.0,20,24,246,212
206.0,20,23,247,212
207.0,20,19,250,213
208.0,20,18,251,213
209.0,20,17,252,213
210.0,20,17,252,213
211.0,20,16,253,213
212.0,20,14,254,214
213.0,20,13,255,214
214.0,20,13,255,214
215.0,20,11,257,214
216.0,20,9,259,214
217.0,20,9,259,214
218.0,20,8,259,215
219.0,20,8,259,215
