"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,500,2,0,0
2.0,499,3,0,0
3.0,498,4,0,0
4.0,498,4,0,0
5.0,498,4,0,0
6.0,496,6,0,0
7.0,495,7,0,0
8.0,494,8,0,0
9.0,494,8,0,0
10.0,493,9,0,0
11.0,492,10,0,0
12.0,491,11,0,0
13.0,490,12,0,0
14.0,489,13,0,0
15.0,488,14,0,0
16.0,488,14,0,0
17.0,487,15,0,0
18.0,487,15,0,0
19.0,486,16,0,0
20.0,486,16,0,0
21.0,485,17,0,0
22.0,484,18,0,0
23.0,481,21,0,0
24.0,479,23,0,0
25.0,479,23,0,0
26.0,479,23,0,0
27.0,476,26,0,0
28.0,473,29,0,0
29.0,470,32,0,0
30.0,468,34,0,0
31.0,467,35,0,0
32.0,466,36,0,0
33.0,465,37,0,0
34.0,464,38,0,0
35.0,462,40,0,0
36.0,461,41,0,0
37.0,460,42,0,0
38.0,460,42,0,0
39.0,456,45,0,1
40.0,454,47,0,1
41.0,453,48,0,1
42.0,450,51,0,1
43.0,447,54,0,1
44.0,443,58,0,1
45.0,443,58,0,1
46.0,442,59,0,1
47.0,440,61,0,1
48.0,438,63,0,1
49.0,433,68,0,1
50.0,431,69,0,2
51.0,430,70,0,2
52.0,428,72,0,2
53.0,425,75,0,2
54.0,423,77,0,2
55.0,422,75,2,3
56.0,422,74,3,3
57.0,421,74,3,4
58.0,420,74,4,4
59.0,419,73,5,5
60.0,416,74,7,5
61.0,413,76,8,5
62.0,409,80,8,5
63.0,405,83,8,6
64.0,401,87,8,6
65.0,398,89,9,6
66.0,398,88,10,6
67.0,396,90,10,6
68.0,396,88,10,8
69.0,394,90,10,8
70.0,391,93,10,8
71.0,389,94,11,8
72.0,389,94,11,8
73.0,385,97,11,9
74.0,382,98,13,9
75.0,381,97,13,11
76.0,379,99,13,11
77.0,379,96,15,12
78.0,377,97,15,13
79.0,375,97,16,14
80.0,374,97,17,14
81.0,372,97,19,14
82.0,367,99,21,15
83.0,365,99,22,16
84.0,364,95,27,16
85.0,360,98,27,17
86.0,359,98,28,17
87.0,356,98,28,20
88.0,353,99,29,21
89.0,349,102,29,22
90.0,345,104,30,23
91.0,343,105,31,23
92.0,338,108,33,23
93.0,335,109,35,23
94.0,327,114,37,24
95.0,321,119,38,24
96.0,320,119,39,24
97.0,315,120,42,25
98.0,312,122,43,25
99.0,308,125,44,25
100.0,302,128,45,27
101.0,294,134,47,27
102.0,291,134,48,29
103.0,288,132,51,31
104.0,280,140,51,31
105.0,276,142,52,32
106.0,269,149,52,32
107.0,265,148,55,34
108.0,256,151,59,36
109.0,251,156,59,36
110.0,249,157,60,36
111.0,245,159,61,37
112.0,238,161,63,40
113.0,238,156,68,40
114.0,232,158,72,40
115.0,227,162,73,40
116.0,224,161,76,41
117.0,224,157,79,42
118.0,219,156,84,43
119.0,213,162,84,43
120.0,206,167,85,44
121.0,203,163,92,44
122.0,199,166,92,45
123.0,197,165,95,45
124.0,192,165,98,47
125.0,188,168,98,48
126.0,186,166,102,48
127.0,183,166,104,49
128.0,178,170,104,50
129.0,175,173,104,50
130.0,172,175,105,50
131.0,165,179,107,51
132.0,161,178,108,55
133.0,155,182,108,57
134.0,148,188,109,57
135.0,147,186,111,58
136.0,144,187,112,59
137.0,143,187,112,60
138.0,138,190,114,60
139.0,138,189,114,61
140.0,136,185,118,63
141.0,136,181,120,65
142.0,134,181,122,65
143.0,134,178,125,65
144.0,131,177,129,65
145.0,130,175,131,66
146.0,127,174,131,70
147.0,125,173,134,70
148.0,124,170,136,72
149.0,122,167,140,73
150.0,122,162,142,76
151.0,122,154,146,80
152.0,121,146,151,84
153.0,119,144,155,84
154.0,118,140,159,85
155.0,116,137,162,87
156.0,113,138,164,87
157.0,112,133,168,89
158.0,112,129,170,91
159.0,110,130,171,91
160.0,108,127,174,93
161.0,108,123,178,93
162.0,108,118,182,94
163.0,108,117,183,94
164.0,106,113,188,95
165.0,104,110,190,98
166.0,102,107,192,101
167.0,102,106,192,102
168.0,101,106,193,102
169.0,101,102,195,104
170.0,100,99,197,106
171.0,99,93,199,111
172.0,98,91,202,111
173.0,98,89,204,111
174.0,98,86,207,111
175.0,98,84,209,111
176.0,97,83,210,112
177.0,96,84,210,112
178.0,95,77,215,115
179.0,95,72,218,117
180.0,95,70,220,117
181.0,95,63,223,121
182.0,94,62,224,122
183.0,94,59,226,123
184.0,93,59,227,123
185.0,93,57,229,123
186.0,93,52,232,125
187.0,93,49,235,125
188.0,93,44,239,126
189.0,93,42,240,127
190.0,92,39,243,128
191.0,92,37,245,128
192.0,92,37,245,128
193.0,92,36,246,128
194.0,92,36,246,128
195.0,91,34,247,130
196.0,91,33,247,131
197.0,91,33,247,131
198.0,91,33,247,131
199.0,91,29,250,132
200.0,91,26,253,132
201.0,91,25,253,133
202.0,90,24,254,134
203.0,90,22,254,136
204.0,90,22,254,136
205.0,90,21,255,136
206.0,89,21,255,137
207.0,89,20,256,137
208.0,89,19,257,137
209.0,89,19,257,137
210.0,89,18,258,137
211.0,89,17,259,137
212.0,89,17,259,137
213.0,89,16,260,137
214.0,89,16,260,137
215.0,89,16,260,137
216.0,89,15,261,137
217.0,89,14,262,137
218.0,89,14,262,137
219.0,89,13,263,137
220.0,89,12,264,137
221.0,89,11,265,137
222.0,89,11,265,137
223.0,89,11,265,137
224.0,89,10,266,137
225.0,89,9,267,137
226.0,89,8,268,137
227.0,88,9,268,137
228.0,88,9,268,137
229.0,88,9,268,137
230.0,88,8,269,137
231.0,88,7,270,137
232.0,88,7,270,137
233.0,88,7,270,137
234.0,88,6,271,137
235.0,88,6,271,137
236.0,88,5,272,137
237.0,88,5,272,137
238.0,88,4,273,137
239.0,88,3,273,138
240.0,88,3,273,138
241.0,88,3,273,138
242.0,88,3,273,138
243.0,88,3,273,138
244.0,88,2,273,139
245.0,88,2,273,139
246.0,88,1,274,139
247.0,88,1,274,139
248.0,87,2,274,139
249.0,86,3,274,139
250.0,86,3,274,139
251.0,86,3,274,139
252.0,86,3,274,139
253.0,86,3,274,139
254.0,86,3,274,139
255.0,86,3,274,139
256.0,86,3,274,139
257.0,86,3,274,139
258.0,86,3,274,139
259.0,86,3,274,139
260.0,86,3,274,139
261.0,86,3,274,139
262.0,86,3,274,139
263.0,86,3,274,139
264.0,86,3,274,139
265.0,86,3,274,139
266.0,86,3,274,139
267.0,86,3,274,139
268.0,86,3,274,139
269.0,86,3,274,139
270.0,86,3,274,139
271.0,86,3,274,139
272.0,86,3,274,139
273.0,86,3,274,139
274.0,86,3,274,139
275.0,86,3,274,139
276.0,86,3,274,139
277.0,86,3,274,139
278.0,86,3,274,139
279.0,86,2,275,139
280.0,86,2,275,139
281.0,86,2,275,139
282.0,86,2,275,139
283.0,86,2,275,139
284.0,86,2,275,139
285.0,86,2,275,139
286.0,86,2,275,139
287.0,86,2,275,139
288.0,86,1,275,140
289.0,86,1,275,140
290.0,86,1,275,140
291.0,86,1,275,140
292.0,86,1,275,140
293.0,86,1,275,140
294.0,86,1,275,140
295.0,86,1,275,140
296.0,86,1,275,140
297.0,86,1,275,140
298.0,86,1,275,140
299.0,86,1,275,140
300.0,86,1,275,140
301.0,86,1,275,140
302.0,86,1,275,140
303.0,86,1,275,140
304.0,86,1,275,140
305.0,86,0,276,140
306.0,86,0,276,140
307.0,86,0,276,140
308.0,86,0,276,140
309.0,86,0,276,140
310.0,86,0,276,140
311.0,86,0,276,140
312.0,86,0,276,140
313.0,86,0,276,140
314.0,86,0,276,140
315.0,86,0,276,140
316.0,86,0,276,140
317.0,86,0,276,140
318.0,86,0,276,140
319.0,86,0,276,140
320.0,86,0,276,140
321.0,86,0,276,140
322.0,86,0,276,140
323.0,86,0,276,140
324.0,86,0,276,140
325.0,86,0,276,140
326.0,86,0,276,140
327.0,86,0,276,140
328.0,86,0,276,140
329.0,86,0,276,140
330.0,86,0,276,140
331.0,86,0,276,140
332.0,86,0,276,140
333.0,86,0,276,140
334.0,86,0,276,140
335.0,86,0,276,140
336.0,86,0,276,140
337.0,86,0,276,140
338.0,86,0,276,140
339.0,86,0,276,140
340.0,86,0,276,140
341.0,86,0,276,140
342.0,86,0,276,140
343.0,86,0,276,140
344.0,86,0,276,140
345.0,86,0,276,140
346.0,86,0,276,140
347.0,86,0,276,140
348.0,86,0,276,140
349.0,86,0,276,140
350.0,86,0,276,140
351.0,86,0,276,140
352.0,86,0,276,140
353.0,86,0,276,140
354.0,86,0,276,140
355.0,86,0,276,140
356.0,86,0,276,140
357.0,86,0,276,140
358.0,86,0,276,140
359.0,86,0,276,140
360.0,86,0,276,140
361.0,86,0,276,140
362.0,86,0,276,140
363.0,86,0,276,140
364.0,86,0,276,140
365.0,86,0,276,140
366.0,86,0,276,140
367.0,86,0,276,140
368.0,86,0,276,140
369.0,86,0,276,140
370.0,86,0,276,140
371.0,86,0,276,140
372.0,86,0,276,140
373.0,86,0,276,140
374.0,86,0,276,140
375.0,86,0,276,140
376.0,86,0,276,140
377.0,86,0,276,140
378.0,86,0,276,140
379.0,86,0,276,140
380.0,86,0,276,140
381.0,86,0,276,140
382.0,86,0,276,140
383.0,86,0,276,140
384.0,86,0,276,140
385.0,86,0,276,140
386.0,86,0,276,140
387.0,86,0,276,140
388.0,86,0,276,140
389.0,86,0,276,140
390.0,86,0,276,140
391.0,86,0,276,140
392.0,86,0,276,140
393.0,86,0,276,140
394.0,86,0,276,140
395.0,86,0,276,140
396.0,86,0,276,140
397.0,86,0,276,140
398.0,86,0,276,140
399.0,86,0,276,140
400.0,86,0,276,140
