Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.0,500.0,0.0,0.5
0.0,3.0,499.0,0.0,1.0
0.0,3.6,498.4,0.0,1.5
0.0,3.6,498.4,0.0,2.0
0.0,3.6,498.4,0.0,2.5
0.0,3.8,498.0,0.2,3.0
0.0,4.4,497.4,0.2,3.5
0.0,4.8,497.0,0.2,4.0
0.0,5.2,496.6,0.2,4.5
0.0,5.4,496.4,0.2,5.0
0.0,6.0,495.6,0.4,5.5
0.0,6.0,495.2,0.8,6.0
0.0,6.2,495.0,0.8,6.5
0.0,6.6,494.6,0.8,7.0
0.0,7.6,493.6,0.8,7.5
0.0,8.0,493.2,0.8,8.0
0.0,8.4,492.8,0.8,8.5
0.0,8.4,492.8,0.8,9.0
0.0,9.2,491.8,1.0,9.5
0.0,9.4,491.6,1.0,10.0
0.0,10.0,491.0,1.0,10.5
0.0,11.0,490.0,1.0,11.0
0.0,12.6,488.4,1.0,11.5
0.0,13.8,487.2,1.0,12.0
0.0,13.8,487.2,1.0,12.5
0.0,14.2,486.8,1.0,13.0
0.0,15.0,486.0,1.0,13.5
0.0,16.6,484.4,1.0,14.0
0.0,17.8,483.2,1.0,14.5
0.0,19.0,482.0,1.0,15.0
0.0,20.0,481.0,1.0,15.5
0.0,20.8,480.2,1.0,16.0
0.0,21.0,480.0,1.0,16.5
0.0,21.8,479.2,1.0,17.0
0.0,22.8,478.2,1.0,17.5
0.0,23.4,477.2,1.4,18.0
0.0,24.2,476.4,1.4,18.5
0.0,25.6,475.0,1.4,19.0
0.2,26.6,473.8,1.4,19.5
0.6,27.0,473.0,1.4,20.0
0.6,28.0,472.0,1.4,20.5
0.6,29.2,470.8,1.4,21.0
0.6,30.2,469.8,1.4,21.5
0.6,31.8,468.2,1.4,22.0
0.6,32.4,467.6,1.4,22.5
0.8,32.8,467.0,1.4,23.0
1.0,33.4,466.2,1.4,23.5
1.2,34.0,465.4,1.4,24.0
1.6,35.6,463.4,1.4,24.5
2.0,36.6,462.0,1.4,25.0
2.2,36.8,461.6,1.4,25.5
2.4,38.2,460.0,1.4,26.0
2.4,39.6,458.6,1.4,26.5
2.6,40.6,457.2,1.6,27.0
2.8,40.2,456.6,2.4,27.5
3.0,40.4,455.8,2.8,28.0
3.4,41.2,454.6,2.8,28.5
3.4,42.0,453.6,3.0,29.0
3.6,42.0,453.2,3.2,29.5
4.0,42.2,452.2,3.6,30.0
4.0,43.6,450.6,3.8,30.5
4.0,45.4,448.6,4.0,31.0
4.2,46.6,446.8,4.4,31.5
4.4,48.0,445.2,4.4,32.0
4.4,49.0,444.0,4.6,32.5
4.8,49.4,443.0,4.8,33.0
4.8,50.4,442.0,4.8,33.5
5.4,50.4,441.2,5.0,34.0
5.6,50.4,440.8,5.2,34.5
5.6,51.8,439.2,5.4,35.0
6.2,52.2,437.6,6.0,35.5
6.8,53.0,436.0,6.2,36.0
7.2,54.4,434.2,6.2,36.5
7.2,55.4,432.8,6.6,37.0
7.8,55.4,431.6,7.2,37.5
7.8,55.8,430.6,7.8,38.0
8.6,54.4,430.6,8.4,38.5
9.2,55.2,428.8,8.8,39.0
9.6,55.8,427.6,9.0,39.5
10.0,56.0,426.6,9.4,40.0
10.2,56.6,424.8,10.4,40.5
11.6,56.2,423.0,11.2,41.0
12.0,56.0,422.2,11.8,41.5
12.0,55.6,421.4,13.0,42.0
12.4,57.2,419.2,13.2,42.5
12.8,57.6,418.0,13.6,43.0
13.8,57.8,416.6,13.8,43.5
14.0,59.0,415.0,14.0,44.0
14.4,60.4,412.8,14.4,44.5
15.0,61.4,410.8,14.8,45.0
15.0,62.2,409.6,15.2,45.5
15.2,62.6,408.0,16.2,46.0
15.4,62.4,406.8,17.4,46.5
16.0,63.4,404.6,18.0,47.0
16.4,64.4,402.4,18.8,47.5
16.6,64.4,401.4,19.6,48.0
17.0,65.4,399.2,20.4,48.5
17.6,66.6,397.0,20.8,49.0
17.6,68.0,394.8,21.6,49.5
18.8,69.0,392.4,21.8,50.0
19.2,70.8,389.4,22.6,50.5
20.2,70.6,387.6,23.6,51.0
21.0,70.4,386.2,24.4,51.5
21.0,73.4,383.2,24.4,52.0
21.6,74.0,381.0,25.4,52.5
21.8,76.0,378.2,26.0,53.0
22.6,76.4,376.0,27.0,53.5
23.2,77.2,373.4,28.2,54.0
23.2,78.4,371.8,28.6,54.5
23.6,78.0,370.4,30.0,55.0
24.2,78.6,368.6,30.6,55.5
25.6,79.2,366.0,31.2,56.0
25.8,79.0,364.8,32.4,56.5
26.0,79.6,362.4,34.0,57.0
26.4,80.6,360.8,34.2,57.5
26.6,81.6,358.6,35.2,58.0
27.0,81.2,357.8,36.0,58.5
27.8,80.2,356.0,38.0,59.0
27.8,82.0,354.0,38.2,59.5
29.0,82.8,351.4,38.8,60.0
29.4,81.0,350.2,41.4,60.5
29.8,81.8,348.4,42.0,61.0
29.8,82.4,346.6,43.2,61.5
30.6,82.0,344.6,44.8,62.0
30.8,82.0,342.8,46.4,62.5
31.2,81.6,341.4,47.8,63.0
32.4,81.2,340.0,48.4,63.5
33.0,82.6,337.6,48.8,64.0
33.2,82.6,336.8,49.4,64.5
33.2,83.4,335.4,50.0,65.0
33.6,84.6,332.6,51.2,65.5
34.8,84.6,330.6,52.0,66.0
36.0,84.8,328.6,52.6,66.5
36.6,84.8,326.8,53.8,67.0
37.4,83.8,325.8,55.0,67.5
37.8,84.8,324.2,55.2,68.0
38.6,84.2,323.2,56.0,68.5
38.6,86.0,320.8,56.6,69.0
39.0,86.4,319.6,57.0,69.5
39.6,86.8,317.8,57.8,70.0
40.4,85.6,316.6,59.4,70.5
40.6,86.2,315.0,60.2,71.0
40.6,84.8,313.8,62.8,71.5
41.2,83.0,313.0,64.8,72.0
41.8,83.2,310.8,66.2,72.5
43.2,83.0,309.2,66.6,73.0
43.2,83.6,307.4,67.8,73.5
43.6,84.0,305.8,68.6,74.0
44.6,81.8,305.4,70.2,74.5
45.6,81.0,304.4,71.0,75.0
46.4,79.4,303.8,72.4,75.5
47.2,77.8,303.0,74.0,76.0
47.6,76.8,301.4,76.2,76.5
48.0,75.6,300.4,78.0,77.0
48.6,75.2,298.6,79.6,77.5
49.0,74.0,297.8,81.2,78.0
49.8,73.4,295.6,83.2,78.5
50.4,72.6,294.4,84.6,79.0
50.8,72.8,292.8,85.6,79.5
51.6,71.0,291.4,88.0,80.0
52.0,70.2,290.4,89.4,80.5
52.4,69.4,289.4,90.8,81.0
52.8,69.2,288.0,92.0,81.5
53.8,68.4,286.2,93.6,82.0
55.2,67.8,284.4,94.6,82.5
56.0,66.8,283.0,96.2,83.0
56.6,67.4,281.2,96.8,83.5
57.0,67.0,280.2,97.8,84.0
57.8,66.4,279.0,98.8,84.5
58.6,66.0,277.2,100.2,85.0
60.0,64.8,275.8,101.4,85.5
60.2,64.0,275.0,102.8,86.0
60.4,64.0,274.0,103.6,86.5
61.2,61.2,273.8,105.8,87.0
61.4,60.6,273.4,106.6,87.5
62.0,60.8,272.2,107.0,88.0
62.6,60.6,271.0,107.8,88.5
63.2,59.4,269.8,109.6,89.0
64.0,58.2,269.0,110.8,89.5
64.4,57.8,268.0,111.8,90.0
65.6,56.2,267.4,112.8,90.5
66.2,55.8,266.6,113.4,91.0
66.6,55.0,265.8,114.6,91.5
67.0,54.4,264.8,115.8,92.0
67.6,53.8,264.4,116.2,92.5
68.6,52.0,263.6,117.8,93.0
68.6,51.4,263.4,118.6,93.5
69.2,50.0,262.6,120.2,94.0
69.8,48.6,262.2,121.4,94.5
70.4,48.0,261.0,122.6,95.0
70.8,47.4,260.6,123.2,95.5
71.0,46.8,260.2,124.0,96.0
71.4,46.4,259.8,124.4,96.5
72.4,44.2,259.8,125.6,97.0
73.0,43.6,259.2,126.2,97.5
73.6,42.4,259.0,127.0,98.0
74.0,42.0,258.4,127.6,98.5
74.4,41.0,258.4,128.2,99.0
75.0,39.0,258.2,129.8,99.5
75.2,38.0,258.0,130.8,100.0
75.6,36.4,257.8,132.2,100.5
76.2,35.6,257.6,132.6,101.0
77.0,34.4,257.6,133.0,101.5
77.0,34.4,257.4,133.2,102.0
77.4,33.6,257.4,133.6,102.5
78.0,33.2,257.0,133.8,103.0
78.4,32.2,257.0,134.4,103.5
78.6,32.0,256.8,134.6,104.0
79.2,31.0,256.4,135.4,104.5
79.6,30.4,256.0,136.0,105.0
80.0,29.4,255.8,136.8,105.5
80.2,28.4,255.8,137.6,106.0
81.0,27.0,255.6,138.4,106.5
81.0,27.0,255.6,138.4,107.0
81.2,26.2,255.6,139.0,107.5
81.2,25.6,255.4,139.8,108.0
81.4,24.8,255.4,140.4,108.5
81.8,24.0,255.4,140.8,109.0
82.2,23.2,255.2,141.4,109.5
82.2,22.2,255.2,142.4,110.0
82.8,20.0,255.2,144.0,110.5
