"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,500,2,0,0
2.0,500,2,0,0
3.0,499,3,0,0
4.0,499,3,0,0
5.0,499,3,0,0
6.0,499,3,0,0
7.0,498,4,0,0
8.0,497,5,0,0
9.0,496,6,0,0
10.0,496,6,0,0
11.0,496,6,0,0
12.0,496,6,0,0
13.0,496,6,0,0
14.0,494,8,0,0
15.0,494,7,1,0
16.0,493,8,1,0
17.0,493,8,1,0
18.0,491,10,1,0
19.0,489,12,1,0
20.0,489,12,1,0
21.0,488,13,1,0
22.0,488,13,1,0
23.0,487,14,1,0
24.0,485,16,1,0
25.0,485,16,1,0
26.0,485,16,1,0
27.0,483,18,1,0
28.0,482,18,2,0
29.0,481,17,4,0
30.0,480,18,4,0
31.0,479,19,4,0
32.0,477,21,4,0
33.0,476,22,4,0
34.0,475,23,4,0
35.0,473,25,4,0
36.0,470,28,4,0
37.0,466,32,4,0
38.0,462,35,4,1
39.0,459,38,4,1
40.0,459,38,4,1
41.0,456,41,4,1
42.0,454,43,4,1
43.0,453,44,4,1
44.0,452,45,4,1
45.0,451,45,5,1
46.0,450,46,5,1
47.0,449,47,5,1
48.0,447,49,5,1
49.0,446,50,5,1
50.0,446,49,6,1
51.0,445,50,6,1
52.0,444,51,6,1
53.0,442,52,6,2
54.0,441,53,6,2
55.0,439,54,7,2
56.0,437,54,8,3
57.0,437,54,8,3
58.0,437,54,8,3
59.0,432,58,9,3
60.0,431,57,11,3
61.0,429,57,13,3
62.0,428,54,17,3
63.0,427,55,17,3
64.0,425,55,18,4
65.0,424,55,19,4
66.0,424,53,20,5
67.0,422,54,21,5
68.0,422,52,21,7
69.0,418,55,22,7
70.0,416,57,22,7
71.0,416,56,22,8
72.0,415,56,22,9
73.0,412,56,22,12
74.0,410,58,22,12
75.0,409,56,24,13
76.0,408,54,25,15
77.0,406,56,25,15
78.0,405,56,25,16
79.0,404,54,25,19
80.0,402,54,27,19
81.0,400,53,30,19
82.0,398,54,30,20
83.0,397,55,30,20
84.0,395,53,33,21
85.0,389,57,34,22
86.0,386,60,34,22
87.0,386,60,34,22
88.0,384,60,35,23
89.0,381,63,35,23
90.0,377,66,36,23
91.0,376,65,38,23
92.0,375,62,42,23
93.0,375,60,44,23
94.0,374,58,47,23
95.0,373,56,50,23
96.0,372,55,51,24
97.0,371,54,53,24
98.0,371,54,53,24
99.0,369,54,54,25
100.0,368,54,55,25
101.0,367,53,56,26
102.0,366,53,57,26
103.0,365,52,59,26
104.0,363,53,59,27
105.0,362,54,59,27
106.0,361,54,59,28
107.0,360,53,60,29
108.0,358,54,61,29
109.0,358,49,65,30
110.0,357,49,65,31
111.0,357,49,65,31
112.0,357,48,66,31
113.0,357,45,69,31
114.0,356,44,70,32
115.0,355,45,70,32
116.0,353,47,70,32
117.0,350,49,70,33
118.0,350,47,71,34
119.0,350,45,72,35
120.0,349,45,73,35
121.0,348,45,74,35
122.0,347,44,75,36
123.0,347,41,78,36
124.0,346,40,79,37
125.0,346,40,79,37
126.0,346,40,79,37
127.0,346,39,79,38
128.0,344,39,81,38
129.0,343,39,82,38
130.0,341,41,82,38
131.0,341,41,82,38
132.0,341,39,82,40
133.0,341,37,82,42
134.0,340,38,82,42
135.0,339,39,82,42
136.0,338,38,84,42
137.0,338,34,88,42
138.0,336,35,89,42
139.0,336,32,92,42
140.0,335,30,95,42
141.0,334,29,97,42
142.0,332,31,97,42
143.0,332,30,97,43
144.0,332,30,97,43
145.0,332,29,98,43
146.0,332,27,100,43
147.0,332,27,100,43
148.0,331,28,100,43
149.0,330,27,102,43
150.0,330,26,102,44
151.0,330,25,103,44
152.0,329,26,103,44
153.0,328,25,105,44
154.0,327,26,105,44
155.0,327,26,105,44
156.0,327,24,107,44
157.0,327,23,107,45
158.0,327,22,108,45
159.0,326,22,108,46
160.0,324,23,109,46
161.0,324,22,110,46
162.0,324,22,110,46
163.0,323,22,110,47
164.0,323,22,110,47
165.0,323,21,110,48
166.0,322,22,110,48
167.0,322,22,110,48
168.0,322,21,111,48
169.0,322,21,111,48
170.0,322,21,111,48
171.0,322,19,113,48
172.0,322,18,114,48
173.0,322,18,114,48
174.0,322,18,114,48
175.0,322,17,115,48
176.0,322,16,116,48
177.0,322,15,117,48
178.0,322,14,117,49
179.0,322,13,117,50
180.0,322,13,117,50
181.0,322,13,117,50
182.0,322,12,118,50
183.0,322,12,118,50
184.0,322,12,118,50
185.0,322,12,118,50
186.0,321,12,119,50
187.0,320,13,119,50
188.0,320,13,119,50
189.0,320,13,119,50
190.0,320,13,119,50
191.0,320,13,119,50
192.0,320,12,120,50
193.0,320,11,120,51
194.0,320,11,120,51
195.0,320,11,120,51
196.0,320,11,120,51
197.0,320,11,120,51
198.0,319,11,120,52
199.0,318,12,120,52
200.0,318,12,120,52
201.0,318,11,121,52
202.0,318,11,121,52
203.0,318,10,121,53
204.0,318,9,122,53
205.0,317,10,122,53
206.0,316,11,122,53
207.0,316,10,123,53
208.0,315,11,123,53
209.0,314,12,123,53
210.0,313,12,124,53
211.0,313,12,124,53
212.0,313,12,124,53
213.0,313,10,126,53
214.0,313,10,126,53
215.0,313,10,126,53
216.0,312,11,126,53
217.0,311,11,127,53
218.0,310,11,128,53
219.0,310,9,130,53
220.0,310,8,131,53
221.0,310,8,131,53
222.0,310,8,131,53
223.0,310,8,131,53
224.0,310,8,131,53
225.0,310,8,131,53
226.0,310,8,131,53
227.0,310,8,131,53
228.0,310,8,131,53
229.0,310,7,132,53
230.0,310,7,132,53
231.0,310,7,132,53
232.0,310,7,132,53
233.0,310,7,132,53
234.0,310,7,132,53
235.0,310,7,132,53
236.0,310,7,132,53
237.0,310,6,133,53
238.0,310,6,133,53
239.0,310,6,133,53
240.0,310,6,133,53
241.0,310,5,134,53
242.0,310,5,134,53
243.0,310,4,135,53
244.0,310,4,135,53
245.0,310,3,135,54
246.0,310,2,135,55
247.0,310,2,135,55
248.0,310,2,135,55
249.0,310,2,135,55
250.0,310,2,135,55
251.0,310,2,135,55
252.0,310,2,135,55
253.0,310,2,135,55
254.0,310,1,136,55
255.0,310,1,136,55
256.0,310,1,136,55
257.0,310,1,136,55
258.0,310,1,136,55
259.0,310,1,136,55
260.0,310,0,137,55
261.0,310,0,137,55
262.0,310,0,137,55
263.0,310,0,137,55
264.0,310,0,137,55
265.0,310,0,137,55
266.0,310,0,137,55
267.0,310,0,137,55
268.0,310,0,137,55
269.0,310,0,137,55
270.0,310,0,137,55
271.0,310,0,137,55
272.0,310,0,137,55
273.0,310,0,137,55
274.0,310,0,137,55
275.0,310,0,137,55
276.0,310,0,137,55
277.0,310,0,137,55
278.0,310,0,137,55
279.0,310,0,137,55
280.0,310,0,137,55
281.0,310,0,137,55
282.0,310,0,137,55
283.0,310,0,137,55
284.0,310,0,137,55
285.0,310,0,137,55
286.0,310,0,137,55
287.0,310,0,137,55
288.0,310,0,137,55
289.0,310,0,137,55
290.0,310,0,137,55
291.0,310,0,137,55
292.0,310,0,137,55
293.0,310,0,137,55
294.0,310,0,137,55
295.0,310,0,137,55
296.0,310,0,137,55
297.0,310,0,137,55
298.0,310,0,137,55
299.0,310,0,137,55
300.0,310,0,137,55
301.0,310,0,137,55
302.0,310,0,137,55
303.0,310,0,137,55
304.0,310,0,137,55
305.0,310,0,137,55
306.0,310,0,137,55
307.0,310,0,137,55
308.0,310,0,137,55
309.0,310,0,137,55
310.0,310,0,137,55
311.0,310,0,137,55
312.0,310,0,137,55
313.0,310,0,137,55
314.0,310,0,137,55
315.0,310,0,137,55
316.0,310,0,137,55
317.0,310,0,137,55
318.0,310,0,137,55
319.0,310,0,137,55
320.0,310,0,137,55
321.0,310,0,137,55
322.0,310,0,137,55
323.0,310,0,137,55
324.0,310,0,137,55
325.0,310,0,137,55
326.0,310,0,137,55
327.0,310,0,137,55
328.0,310,0,137,55
329.0,310,0,137,55
330.0,310,0,137,55
331.0,310,0,137,55
332.0,310,0,137,55
333.0,310,0,137,55
334.0,310,0,137,55
335.0,310,0,137,55
336.0,310,0,137,55
337.0,310,0,137,55
338.0,310,0,137,55
339.0,310,0,137,55
340.0,310,0,137,55
341.0,310,0,137,55
342.0,310,0,137,55
343.0,310,0,137,55
344.0,310,0,137,55
345.0,310,0,137,55
346.0,310,0,137,55
347.0,310,0,137,55
348.0,310,0,137,55
349.0,310,0,137,55
350.0,310,0,137,55
351.0,310,0,137,55
352.0,310,0,137,55
353.0,310,0,137,55
354.0,310,0,137,55
355.0,310,0,137,55
356.0,310,0,137,55
357.0,310,0,137,55
358.0,310,0,137,55
359.0,310,0,137,55
360.0,310,0,137,55
361.0,310,0,137,55
362.0,310,0,137,55
363.0,310,0,137,55
364.0,310,0,137,55
365.0,310,0,137,55
366.0,310,0,137,55
367.0,310,0,137,55
368.0,310,0,137,55
369.0,310,0,137,55
370.0,310,0,137,55
371.0,310,0,137,55
372.0,310,0,137,55
373.0,310,0,137,55
374.0,310,0,137,55
375.0,310,0,137,55
376.0,310,0,137,55
377.0,310,0,137,55
378.0,310,0,137,55
379.0,310,0,137,55
380.0,310,0,137,55
381.0,310,0,137,55
382.0,310,0,137,55
383.0,310,0,137,55
384.0,310,0,137,55
385.0,310,0,137,55
386.0,310,0,137,55
387.0,310,0,137,55
388.0,310,0,137,55
389.0,310,0,137,55
390.0,310,0,137,55
391.0,310,0,137,55
392.0,310,0,137,55
393.0,310,0,137,55
394.0,310,0,137,55
395.0,310,0,137,55
396.0,310,0,137,55
397.0,310,0,137,55
398.0,310,0,137,55
399.0,310,0,137,55
400.0,310,0,137,55
