Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.4,499.6,0.0,0.5
0.0,2.8,499.2,0.0,1.0
0.0,3.4,498.6,0.0,1.5
0.0,3.8,497.8,0.4,2.0
0.0,3.8,497.6,0.6,2.5
0.0,4.2,497.2,0.6,3.0
0.0,4.8,496.6,0.6,3.5
0.0,5.4,496.0,0.6,4.0
0.0,5.6,495.4,1.0,4.5
0.0,5.8,495.2,1.0,5.0
0.0,6.2,494.8,1.0,5.5
0.0,6.4,494.6,1.0,6.0
0.0,6.6,494.4,1.0,6.5
0.0,7.4,493.6,1.0,7.0
0.0,7.0,493.0,2.0,7.5
0.0,7.4,492.6,2.0,8.0
0.0,8.0,492.0,2.0,8.5
0.0,9.0,491.0,2.0,9.0
0.0,9.8,490.0,2.2,9.5
0.0,10.2,489.6,2.2,10.0
0.0,11.0,488.8,2.2,10.5
0.0,11.6,488.2,2.2,11.0
0.0,11.8,487.6,2.6,11.5
0.0,12.8,486.6,2.6,12.0
0.0,13.2,486.2,2.6,12.5
0.0,13.4,485.8,2.8,13.0
0.0,14.4,484.8,2.8,13.5
0.0,14.4,484.6,3.0,14.0
0.0,13.8,484.4,3.8,14.5
0.0,14.2,484.0,3.8,15.0
0.0,14.2,483.6,4.2,15.5
0.0,14.6,483.2,4.2,16.0
0.0,15.2,482.6,4.2,16.5
0.0,16.0,481.8,4.2,17.0
0.0,16.6,481.2,4.2,17.5
0.0,17.4,480.4,4.2,18.0
0.2,18.6,479.0,4.2,18.5
0.4,19.4,477.8,4.4,19.0
0.4,20.0,477.2,4.4,19.5
0.4,20.0,477.0,4.6,20.0
0.4,20.2,476.4,5.0,20.5
0.4,20.0,476.0,5.6,21.0
0.4,20.4,475.6,5.6,21.5
0.6,20.6,475.2,5.6,22.0
0.6,20.8,474.8,5.8,22.5
0.8,21.4,474.0,5.8,23.0
0.8,22.0,473.4,5.8,23.5
0.8,22.4,473.0,5.8,24.0
1.0,22.4,472.6,6.0,24.5
1.0,22.4,472.2,6.4,25.0
1.2,22.6,471.8,6.4,25.5
1.6,22.8,471.2,6.4,26.0
1.8,23.0,470.6,6.6,26.5
1.8,23.2,470.4,6.6,27.0
2.0,23.4,469.8,6.8,27.5
2.2,23.8,468.4,7.6,28.0
2.2,23.6,468.2,8.0,28.5
2.4,23.2,468.0,8.4,29.0
3.0,23.8,466.2,9.0,29.5
3.2,23.0,465.8,10.0,30.0
3.4,23.0,465.0,10.6,30.5
3.4,22.4,464.4,11.8,31.0
3.4,22.8,464.0,11.8,31.5
3.8,22.6,463.4,12.2,32.0
4.0,22.8,462.8,12.4,32.5
4.2,22.6,462.6,12.6,33.0
4.6,22.6,461.8,13.0,33.5
5.0,22.2,461.4,13.4,34.0
5.0,22.8,460.4,13.8,34.5
5.0,23.8,459.4,13.8,35.0
5.2,24.0,458.8,14.0,35.5
5.4,23.8,458.4,14.4,36.0
6.2,24.4,457.0,14.4,36.5
6.2,25.8,455.4,14.6,37.0
6.4,25.4,454.8,15.4,37.5
6.8,25.4,453.6,16.2,38.0
6.8,26.6,452.4,16.2,38.5
7.0,26.8,452.0,16.2,39.0
7.8,26.6,451.0,16.6,39.5
7.8,27.0,449.8,17.4,40.0
7.8,27.0,448.8,18.4,40.5
8.0,26.6,448.0,19.4,41.0
8.6,25.8,447.8,19.8,41.5
8.8,25.6,447.2,20.4,42.0
9.0,26.4,445.8,20.8,42.5
9.2,26.6,445.0,21.2,43.0
9.4,26.4,444.6,21.6,43.5
9.8,26.4,444.0,21.8,44.0
