Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
104.8,198.8,75.2,123.2,79.5
107.0,196.8,72.6,125.6,80.0
108.2,196.0,69.8,128.0,80.5
109.6,195.0,67.4,130.0,81.0
111.8,190.6,65.6,134.0,81.5
114.0,186.8,63.8,137.4,82.0
115.2,185.2,62.6,139.0,82.5
117.4,181.8,61.2,141.6,83.0
119.4,178.8,59.4,144.4,83.5
120.8,176.8,58.0,146.4,84.0
122.4,175.6,56.2,147.8,84.5
124.8,171.6,55.0,150.6,85.0
126.0,169.0,53.6,153.4,85.5
128.0,166.0,52.4,155.6,86.0
129.0,163.4,51.8,157.8,86.5
130.0,160.4,51.0,160.6,87.0
131.2,158.2,49.2,163.4,87.5
133.6,155.2,48.4,164.8,88.0
134.4,154.0,46.6,167.0,88.5
134.8,152.2,45.8,169.2,89.0
137.4,149.4,45.0,170.2,89.5
139.4,144.2,44.2,174.2,90.0
141.4,141.0,43.2,176.4,90.5
143.2,137.6,42.6,178.6,91.0
144.8,134.2,42.2,180.8,91.5
146.6,132.4,41.0,182.0,92.0
147.6,129.0,40.6,184.8,92.5
148.6,125.8,39.6,188.0,93.0
150.6,123.0,38.8,189.6,93.5
153.0,118.6,38.0,192.4,94.0
154.4,114.2,37.4,196.0,94.5
157.0,110.4,37.2,197.4,95.0
158.8,107.6,36.6,199.0,95.5
159.8,105.6,36.0,200.6,96.0
162.0,101.6,35.4,203.0,96.5
163.0,99.2,34.8,205.0,97.0
164.8,95.4,34.4,207.4,97.5
166.4,93.2,33.4,209.0,98.0
168.0,90.2,33.2,210.6,98.5
169.6,86.6,32.8,213.0,99.0
171.6,81.6,32.4,216.4,99.5
172.8,80.2,31.6,217.4,100.0
173.4,77.4,31.0,220.2,100.5
175.0,74.4,30.6,222.0,101.0
176.0,71.4,30.4,224.2,101.5
177.4,69.2,29.8,225.6,102.0
178.6,66.8,29.6,227.0,102.5
180.4,62.8,29.4,229.4,103.0
180.6,62.0,29.2,230.2,103.5
181.4,58.2,29.2,233.2,104.0
182.0,56.2,28.6,235.2,104.5
183.6,52.8,28.6,237.0,105.0
185.0,50.2,28.4,238.4,105.5
186.2,46.8,28.4,240.6,106.0
187.6,44.0,28.2,242.2,106.5
188.4,42.4,28.2,243.0,107.0
189.2,40.0,28.2,244.6,107.5
190.6,37.2,28.2,246.0,108.0
190.6,34.2,28.2,249.0,108.5
191.4,31.8,28.2,250.6,109.0
192.6,28.4,28.2,252.8,109.5
194.2,25.8,28.2,253.8,110.0
194.2,25.4,28.0,254.4,110.5
194.4,24.6,28.0,255.0,111.0
195.2,23.0,28.0,255.8,111.5
195.2,22.8,28.0,256.0,112.0
195.4,22.2,28.0,256.4,112.5
195.8,21.2,27.8,257.2,113.0
196.6,19.0,27.8,258.6,113.5
196.8,17.8,27.8,259.6,114.0
197.0,17.2,27.8,260.0,114.5
197.2,16.6,27.8,260.4,115.0
197.6,15.4,27.8,261.2,115.5
197.6,15.2,27.8,261.4,116.0
197.6,14.6,27.8,262.0,116.5
197.8,14.4,27.8,262.0,117.0
198.4,13.4,27.8,262.4,117.5
198.6,12.6,27.8,263.0,118.0
198.8,12.0,27.8,263.4,118.5
198.8,11.8,27.6,263.8,119.0
198.8,11.2,27.6,264.4,119.5
199.0,10.2,27.6,265.2,120.0
199.0,10.2,27.6,265.2,120.5
199.0,9.8,27.6,265.6,121.0
199.0,9.4,27.6,266.0,121.5
199.0,9.0,27.6,266.4,122.0
199.0,8.8,27.6,266.6,122.5
199.0,8.2,27.6,267.2,123.0
199.0,7.8,27.6,267.6,123.5
199.2,7.4,27.6,267.8,124.0
199.2,7.2,27.6,268.0,124.5
199.2,6.4,27.6,268.8,125.0
199.6,5.8,27.6,269.0,125.5
199.6,5.2,27.6,269.6,126.0
199.6,5.0,27.6,269.8,126.5
199.8,4.2,27.6,270.4,127.0
200.0,3.6,27.6,270.8,127.5
200.0,3.2,27.6,271.2,128.0
200.2,3.0,27.6,271.2,128.5
200.2,3.0,27.6,271.2,129.0
200.4,2.8,27.4,271.4,129.5
200.4,2.6,27.4,271.6,130.0
200.4,2.0,27.4,272.2,130.5
200.4,1.8,27.2,272.6,131.0
200.4,1.8,27.2,272.6,131.5
200.4,1.8,27.2,272.6,132.0
200.6,1.6,27.2,272.6,132.5
200.6,1.6,27.2,272.6,133.0
200.6,1.4,27.2,272.8,133.5
200.6,1.4,27.2,272.8,134.0
200.6,1.2,27.2,273.0,134.5
200.6,1.0,27.2,273.2,135.0
200.8,0.8,27.2,273.2,135.5
200.8,0.8,27.2,273.2,136.0
200.8,0.6,27.2,273.4,136.5
200.8,0.6,27.2,273.4,137.0
200.8,0.6,27.2,273.4,137.5
200.8,0.6,27.2,273.4,138.0
200.8,0.6,27.2,273.4,138.5
200.8,0.6,27.2,273.4,139.0
200.8,0.6,27.2,273.4,139.5
200.8,0.6,27.2,273.4,140.0
200.8,0.6,27.2,273.4,140.5
200.8,0.6,27.2,273.4,141.0
200.8,0.6,27.2,273.4,141.5
200.8,0.6,27.2,273.4,142.0
200.8,0.6,27.2,273.4,142.5
200.8,0.6,27.2,273.4,143.0
200.8,0.6,27.2,273.4,143.5
200.8,0.6,27.2,273.4,144.0
200.8,0.6,27.2,273.4,144.5
200.8,0.6,27.2,273.4,145.0
200.8,0.6,27.2,273.4,145.5
200.8,0.6,27.2,273.4,146.0
200.8,0.6,27.2,273.4,146.5
200.8,0.6,27.2,273.4,147.0
200.8,0.6,27.2,273.4,147.5
200.8,0.6,27.2,273.4,148.0
200.8,0.6,27.2,273.4,148.5
200.8,0.6,27.2,273.4,149.0
200.8,0.6,27.2,273.4,149.5
200.8,0.6,27.2,273.4,150.0
200.8,0.6,27.2,273.4,150.5
200.8,0.6,27.2,273.4,151.0
200.8,0.4,27.2,273.6,151.5
200.8,0.4,27.2,273.6,152.0
200.8,0.4,27.2,273.6,152.5
200.8,0.4,27.2,273.6,153.0
200.8,0.4,27.2,273.6,153.5
200.8,0.4,27.2,273.6,154.0
200.8,0.4,27.2,273.6,154.5
200.8,0.4,27.2,273.6,155.0
200.8,0.4,27.2,273.6,155.5
200.8,0.4,27.2,273.6,156.0
200.8,0.4,27.2,273.6,156.5
200.8,0.4,27.2,273.6,157.0
200.8,0.4,27.2,273.6,157.5
200.8,0.4,27.2,273.6,158.0
200.8,0.4,27.2,273.6,158.5
200.8,0.4,27.2,273.6,159.0
200.8,0.4,27.2,273.6,159.5
200.8,0.4,27.2,273.6,160.0
200.8,0.4,27.2,273.6,160.5
200.8,0.2,27.2,273.8,161.0
200.8,0.2,27.2,273.8,161.5
200.8,0.2,27.2,273.8,162.0
200.8,0.2,27.2,273.8,162.5
200.8,0.2,27.2,273.8,163.0
200.8,0.0,27.2,274.0,163.5
200.8,0.0,27.2,274.0,164.0
200.8,0.0,27.2,274.0,164.5
200.8,0.0,27.2,274.0,165.0
200.8,0.0,27.2,274.0,165.5
200.8,0.0,27.2,274.0,166.0
200.8,0.0,27.2,274.0,166.5
200.8,0.0,27.2,274.0,167.0
200.8,0.0,27.2,274.0,167.5
200.8,0.0,27.2,274.0,168.0
200.8,0.0,27.2,274.0,168.5
200.8,0.0,27.2,274.0,169.0
200.8,0.0,27.2,274.0,169.5
200.8,0.0,27.2,274.0,170.0
200.8,0.0,27.2,274.0,170.5
200.8,0.0,27.2,274.0,171.0
200.8,0.0,27.2,274.0,171.5
200.8,0.0,27.2,274.0,172.0
200.8,0.0,27.2,274.0,172.5
200.8,0.0,27.2,274.0,173.0
200.8,0.0,27.2,274.0,173.5
200.8,0.0,27.2,274.0,174.0
200.8,0.0,27.2,274.0,174.5
200.8,0.0,27.2,274.0,175.0
200.8,0.0,27.2,274.0,175.5
200.8,0.0,27.2,274.0,176.0
200.8,0.0,27.2,274.0,176.5
200.8,0.0,27.2,274.0,177.0
200.8,0.0,27.2,274.0,177.5
200.8,0.0,27.2,274.0,178.0
200.8,0.0,27.2,274.0,178.5
200.8,0.0,27.2,274.0,179.0
200.8,0.0,27.2,274.0,179.5
200.8,0.0,27.2,274.0,180.0
200.8,0.0,27.2,274.0,180.5
200.8,0.0,27.2,274.0,181.0
200.8,0.0,27.2,274.0,181.5
200.8,0.0,27.2,274.0,182.0
200.8,0.0,27.2,274.0,182.5
200.8,0.0,27.2,274.0,183.0
200.8,0.0,27.2,274.0,183.5
200.8,0.0,27.2,274.0,184.0
200.8,0.0,27.2,274.0,184.5
200.8,0.0,27.2,274.0,185.0
200.8,0.0,27.2,274.0,185.5
200.8,0.0,27.2,274.0,186.0
200.8,0.0,27.2,274.0,186.5
200.8,0.0,27.2,274.0,187.0
200.8,0.0,27.2,274.0,187.5
200.8,0.0,27.2,274.0,188.0
200.8,0.0,27.2,274.0,188.5
200.8,0.0,27.2,274.0,189.0
200.8,0.0,27.2,274.0,189.5
200.8,0.0,27.2,274.0,190.0
200.8,0.0,27.2,274.0,190.5
200.8,0.0,27.2,274.0,191.0
200.8,0.0,27.2,274.0,191.5
200.8,0.0,27.2,274.0,192.0
200.8,0.0,27.2,274.0,192.5
200.8,0.0,27.2,274.0,193.0
200.8,0.0,27.2,274.0,193.5
200.8,0.0,27.2,274.0,194.0
200.8,0.0,27.2,274.0,194.5
200.8,0.0,27.2,274.0,195.0
200.8,0.0,27.2,274.0,195.5
200.8,0.0,27.2,274.0,196.0
200.8,0.0,27.2,274.0,196.5
200.8,0.0,27.2,274.0,197.0
200.8,0.0,27.2,274.0,197.5
200.8,0.0,27.2,274.0,198.0
200.8,0.0,27.2,274.0,198.5
200.8,0.0,27.2,274.0,199.0
200.8,0.0,27.2,274.0,199.5
200.8,0.0,27.2,274.0,200.0
