"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,500,2,0,0
2.0,498,4,0,0
3.0,497,5,0,0
4.0,497,5,0,0
5.0,496,6,0,0
6.0,496,6,0,0
7.0,496,6,0,0
8.0,496,6,0,0
9.0,496,6,0,0
10.0,494,8,0,0
11.0,494,8,0,0
12.0,492,10,0,0
13.0,491,11,0,0
14.0,491,11,0,0
15.0,489,12,1,0
16.0,488,12,2,0
17.0,487,13,2,0
18.0,487,13,2,0
19.0,487,12,3,0
20.0,486,13,3,0
21.0,485,14,3,0
22.0,484,15,3,0
23.0,483,16,3,0
24.0,483,16,3,0
25.0,480,19,3,0
26.0,480,19,3,0
27.0,478,21,3,0
28.0,477,22,3,0
29.0,477,22,3,0
30.0,475,24,3,0
31.0,471,28,3,0
32.0,468,31,3,0
33.0,466,33,3,0
34.0,459,40,3,0
35.0,456,43,3,0
36.0,455,44,3,0
37.0,452,47,3,0
38.0,449,50,3,0
39.0,446,53,3,0
40.0,446,53,3,0
41.0,445,54,3,0
42.0,445,54,3,0
43.0,444,55,3,0
44.0,443,56,3,0
45.0,440,59,3,0
46.0,437,62,3,0
47.0,434,65,3,0
48.0,433,65,4,0
49.0,429,69,4,0
50.0,429,69,4,0
51.0,428,70,4,0
52.0,426,71,5,0
53.0,422,75,5,0
54.0,420,76,5,1
55.0,418,78,5,1
56.0,417,79,5,1
57.0,415,81,5,1
58.0,412,83,5,2
59.0,407,88,5,2
60.0,405,90,5,2
61.0,401,92,6,3
62.0,399,94,6,3
63.0,399,94,6,3
64.0,396,95,7,4
65.0,393,97,8,4
66.0,389,101,8,4
67.0,384,103,11,4
68.0,377,109,12,4
69.0,375,109,14,4
70.0,371,112,15,4
71.0,366,115,16,5
72.0,364,114,16,8
73.0,355,122,16,9
74.0,352,124,16,10
75.0,348,127,17,10
76.0,345,128,19,10
77.0,339,132,20,11
78.0,339,128,22,13
79.0,335,132,22,13
80.0,332,134,23,13
81.0,330,136,23,13
82.0,329,135,24,14
83.0,328,135,24,15
84.0,325,136,24,17
85.0,323,136,24,19
86.0,317,141,24,20
87.0,314,142,25,21
88.0,310,141,28,23
89.0,306,144,28,24
90.0,300,150,28,24
91.0,296,152,29,25
92.0,295,151,31,25
93.0,293,151,32,26
94.0,293,150,33,26
95.0,290,152,33,27
96.0,287,154,34,27
97.0,284,154,37,27
98.0,277,156,40,29
99.0,274,156,42,30
100.0,269,160,42,31
101.0,263,163,44,32
102.0,257,165,47,33
103.0,250,168,50,34
104.0,245,172,51,34
105.0,242,172,53,35
106.0,240,170,55,37
107.0,236,172,55,39
108.0,232,172,57,41
109.0,229,172,59,42
110.0,227,172,59,44
111.0,223,172,62,45
112.0,218,176,62,46
113.0,213,179,63,47
114.0,208,179,65,50
115.0,204,182,65,51
116.0,200,185,65,52
117.0,195,185,66,56
118.0,188,190,67,57
119.0,184,191,69,58
120.0,181,191,71,59
121.0,178,191,71,62
122.0,169,197,73,63
123.0,163,199,75,65
124.0,160,198,76,68
125.0,157,194,81,70
126.0,153,198,81,70
127.0,149,197,83,73
128.0,144,198,86,74
129.0,140,199,88,75
130.0,134,201,90,77
131.0,127,205,92,78
132.0,121,208,93,80
133.0,118,206,97,81
134.0,115,204,100,83
135.0,112,204,101,85
136.0,110,203,102,87
137.0,106,199,109,88
138.0,104,196,111,91
139.0,102,192,115,93
140.0,100,190,117,95
141.0,95,192,118,97
142.0,87,198,120,97
143.0,82,198,122,100
144.0,79,200,123,100
145.0,77,200,124,101
146.0,74,203,124,101
147.0,71,201,128,102
148.0,68,201,130,103
149.0,67,199,131,105
150.0,66,198,131,107
151.0,64,194,136,108
152.0,61,193,139,109
153.0,59,189,142,112
154.0,58,185,145,114
155.0,52,187,146,117
156.0,52,185,147,118
157.0,51,184,148,119
158.0,50,182,148,122
159.0,49,182,149,122
160.0,49,180,150,123
161.0,48,180,150,124
162.0,47,174,154,127
163.0,45,172,156,129
164.0,45,166,159,132
165.0,45,166,159,132
166.0,44,161,162,135
167.0,42,158,166,136
168.0,42,153,170,137
169.0,42,150,173,137
170.0,41,145,177,139
171.0,41,141,179,141
172.0,41,135,180,146
173.0,41,135,180,146
174.0,40,134,181,147
175.0,40,127,186,149
176.0,40,119,190,153
177.0,39,118,190,155
178.0,39,115,192,156
179.0,39,112,192,159
180.0,39,104,197,162
181.0,39,103,197,163
182.0,39,101,198,164
183.0,39,94,202,167
184.0,39,92,203,168
185.0,39,88,206,169
186.0,38,83,211,170
187.0,38,81,212,171
188.0,37,77,214,174
189.0,37,72,218,175
190.0,37,68,219,178
191.0,37,67,219,179
192.0,37,63,221,181
193.0,37,61,221,183
194.0,37,59,222,184
195.0,37,56,224,185
196.0,37,54,226,185
197.0,36,54,226,186
198.0,36,50,229,187
199.0,36,49,230,187
200.0,36,48,231,187
201.0,36,46,232,188
202.0,36,43,235,188
203.0,36,42,235,189
204.0,36,41,236,189
205.0,36,41,236,189
206.0,36,37,239,190
207.0,36,36,240,190
208.0,36,35,241,190
209.0,36,32,244,190
210.0,36,30,245,191
211.0,36,27,246,193
212.0,36,26,247,193
213.0,36,24,249,193
214.0,36,23,250,193
215.0,36,22,251,193
