Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.4,499.6,0.0,0.5
0.0,2.6,499.4,0.0,1.0
0.0,2.6,499.4,0.0,1.5
0.0,3.2,498.8,0.0,2.0
0.0,3.4,498.6,0.0,2.5
0.0,3.6,498.2,0.2,3.0
0.0,3.6,497.8,0.6,3.5
0.0,3.8,497.4,0.8,4.0
0.0,4.2,497.0,0.8,4.5
0.0,4.2,497.0,0.8,5.0
0.0,4.6,496.6,0.8,5.5
0.0,4.6,496.6,0.8,6.0
0.0,5.0,496.0,1.0,6.5
0.0,4.6,496.0,1.4,7.0
0.0,4.8,495.8,1.4,7.5
0.0,4.6,495.8,1.6,8.0
0.0,4.8,495.6,1.6,8.5
0.0,5.2,495.2,1.6,9.0
0.0,5.4,495.0,1.6,9.5
0.0,5.4,494.8,1.8,10.0
0.0,5.6,494.6,1.8,10.5
0.0,6.0,494.2,1.8,11.0
0.0,6.6,493.6,1.8,11.5
0.0,6.8,493.4,1.8,12.0
0.0,7.0,493.2,1.8,12.5
0.0,7.0,493.0,2.0,13.0
0.0,7.0,492.8,2.2,13.5
0.0,7.4,492.4,2.2,14.0
0.0,7.8,492.0,2.2,14.5
0.0,8.2,491.6,2.2,15.0
0.0,8.2,491.6,2.2,15.5
0.0,8.6,491.2,2.2,16.0
0.0,8.8,490.8,2.4,16.5
0.0,9.0,490.4,2.6,17.0
0.0,9.2,490.2,2.6,17.5
0.2,9.0,490.2,2.6,18.0
0.2,9.2,490.0,2.6,18.5
0.2,9.4,489.8,2.6,19.0
0.2,9.6,489.6,2.6,19.5
0.2,10.6,488.4,2.8,20.0
0.2,11.2,487.6,3.0,20.5
0.4,11.0,487.2,3.4,21.0
0.4,11.2,486.8,3.6,21.5
0.6,10.4,486.4,4.6,22.0
0.8,10.6,486.0,4.6,22.5
0.8,10.6,485.8,4.8,23.0
0.8,10.2,485.8,5.2,23.5
0.8,10.6,485.2,5.4,24.0
1.0,10.6,484.8,5.6,24.5
1.0,10.2,484.8,6.0,25.0
1.0,10.4,484.6,6.0,25.5
1.0,10.0,484.6,6.4,26.0
1.0,10.2,484.4,6.4,26.5
1.4,9.8,484.4,6.4,27.0
1.4,10.2,484.0,6.4,27.5
1.4,10.4,483.8,6.4,28.0
1.4,10.2,483.4,7.0,28.5
1.4,10.2,483.4,7.0,29.0
1.8,10.0,483.2,7.0,29.5
2.0,9.6,483.2,7.2,30.0
2.0,9.6,483.0,7.4,30.5
2.0,9.8,482.8,7.4,31.0
2.0,9.6,482.8,7.6,31.5
2.2,9.6,482.6,7.6,32.0
2.2,9.6,482.6,7.6,32.5
2.2,9.2,482.6,8.0,33.0
2.2,9.2,482.6,8.0,33.5
2.2,9.6,482.0,8.2,34.0
2.2,9.4,482.0,8.4,34.5
2.2,9.4,482.0,8.4,35.0
2.2,9.4,482.0,8.4,35.5
2.2,9.0,482.0,8.8,36.0
2.2,8.6,481.8,9.4,36.5
2.2,8.4,481.8,9.6,37.0
2.2,7.8,481.8,10.2,37.5
2.2,7.6,481.8,10.4,38.0
2.4,7.2,481.6,10.8,38.5
2.6,6.8,481.6,11.0,39.0
2.8,6.2,481.6,11.4,39.5
3.0,5.8,481.6,11.6,40.0
3.4,5.4,481.6,11.6,40.5
3.4,4.8,481.6,12.2,41.0
3.4,4.4,481.6,12.6,41.5
3.4,3.8,481.6,13.2,42.0
3.4,3.8,481.6,13.2,42.5
3.4,3.6,481.6,13.4,43.0
3.4,3.6,481.6,13.4,43.5
3.4,3.6,481.6,13.4,44.0
3.4,3.4,481.6,13.6,44.5
3.4,3.0,481.6,14.0,45.0
3.4,2.8,481.6,14.2,45.5
3.4,2.4,481.6,14.6,46.0
3.4,2.4,481.6,14.6,46.5
3.4,2.4,481.6,14.6,47.0
3.4,2.4,481.6,14.6,47.5
3.6,2.0,481.6,14.8,48.0
3.6,1.8,481.6,15.0,48.5
3.6,1.8,481.6,15.0,49.0
3.6,1.6,481.6,15.2,49.5
3.6,1.2,481.6,15.6,50.0
3.6,1.2,481.6,15.6,50.5
3.6,1.2,481.6,15.6,51.0
3.6,0.8,481.6,16.0,51.5
3.6,0.6,481.6,16.2,52.0
3.6,0.6,481.6,16.2,52.5
3.6,0.6,481.6,16.2,53.0
3.6,0.6,481.6,16.2,53.5
3.6,0.4,481.6,16.4,54.0
