"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,500,2,0,0
2.0,498,4,0,0
3.0,498,4,0,0
4.0,498,4,0,0
5.0,498,4,0,0
6.0,498,4,0,0
7.0,498,4,0,0
8.0,497,5,0,0
9.0,497,5,0,0
10.0,497,5,0,0
11.0,496,6,0,0
12.0,496,6,0,0
13.0,495,7,0,0
14.0,494,8,0,0
15.0,493,9,0,0
16.0,493,9,0,0
17.0,493,9,0,0
18.0,492,10,0,0
19.0,491,11,0,0
20.0,489,13,0,0
21.0,488,14,0,0
22.0,488,14,0,0
23.0,487,15,0,0
24.0,485,17,0,0
25.0,484,18,0,0
26.0,483,19,0,0
27.0,482,20,0,0
28.0,481,21,0,0
29.0,481,21,0,0
30.0,481,20,1,0
31.0,479,22,1,0
32.0,479,22,1,0
33.0,479,22,1,0
34.0,479,22,1,0
35.0,478,22,2,0
36.0,476,23,2,1
37.0,476,23,2,1
38.0,476,22,2,2
39.0,475,23,2,2
40.0,475,23,2,2
41.0,474,24,2,2
42.0,471,27,2,2
43.0,470,27,3,2
44.0,469,28,3,2
45.0,468,29,3,2
46.0,468,26,5,3
47.0,468,25,5,4
48.0,467,25,6,4
49.0,466,26,6,4
50.0,464,27,6,5
51.0,463,28,6,5
52.0,463,28,6,5
53.0,462,29,6,5
54.0,461,30,6,5
55.0,460,31,6,5
56.0,457,33,6,6
57.0,457,33,6,6
58.0,456,34,6,6
59.0,454,34,8,6
60.0,454,34,8,6
61.0,454,33,9,6
62.0,454,31,11,6
63.0,454,30,12,6
64.0,454,29,12,7
65.0,453,30,12,7
66.0,452,30,13,7
67.0,450,31,14,7
68.0,449,31,15,7
69.0,447,31,17,7
70.0,447,29,19,7
71.0,446,30,19,7
72.0,446,30,19,7
73.0,445,31,19,7
74.0,445,30,20,7
75.0,445,29,21,7
76.0,444,30,21,7
77.0,444,30,21,7
78.0,444,30,21,7
79.0,443,30,22,7
80.0,443,29,23,7
81.0,443,28,23,8
82.0,443,26,24,9
83.0,443,26,24,9
84.0,443,26,24,9
85.0,442,24,26,10
86.0,442,24,26,10
87.0,442,22,28,10
88.0,442,22,28,10
89.0,442,21,28,11
90.0,442,21,28,11
91.0,442,21,28,11
92.0,442,20,29,11
93.0,442,20,29,11
94.0,442,19,30,11
95.0,441,18,31,12
96.0,441,17,31,13
97.0,440,17,32,13
98.0,440,16,33,13
99.0,440,15,34,13
100.0,440,14,35,13
101.0,440,13,36,13
102.0,440,13,36,13
103.0,440,12,36,14
104.0,440,11,36,15
105.0,440,11,36,15
106.0,440,11,36,15
107.0,440,10,37,15
108.0,440,10,37,15
109.0,440,9,38,15
110.0,440,8,39,15
111.0,440,8,39,15
112.0,440,7,40,15
113.0,440,7,40,15
114.0,440,7,40,15
115.0,440,6,41,15
116.0,440,6,41,15
117.0,440,5,42,15
118.0,440,4,43,15
119.0,440,4,43,15
120.0,440,4,43,15
121.0,440,4,43,15
122.0,440,2,44,16
123.0,440,2,44,16
124.0,440,2,44,16
125.0,440,2,44,16
126.0,440,2,44,16
127.0,440,2,44,16
128.0,440,2,44,16
129.0,440,2,44,16
130.0,440,2,44,16
131.0,440,2,44,16
132.0,440,2,44,16
133.0,440,2,44,16
134.0,440,2,44,16
135.0,440,2,44,16
136.0,440,2,44,16
137.0,440,2,44,16
138.0,440,1,45,16
139.0,440,1,45,16
140.0,440,1,45,16
141.0,440,1,45,16
142.0,440,1,45,16
143.0,440,0,46,16
144.0,440,0,46,16
145.0,440,0,46,16
146.0,440,0,46,16
147.0,440,0,46,16
148.0,440,0,46,16
149.0,440,0,46,16
150.0,440,0,46,16
151.0,440,0,46,16
152.0,440,0,46,16
153.0,440,0,46,16
154.0,440,0,46,16
155.0,440,0,46,16
156.0,440,0,46,16
157.0,440,0,46,16
158.0,440,0,46,16
159.0,440,0,46,16
160.0,440,0,46,16
161.0,440,0,46,16
162.0,440,0,46,16
163.0,440,0,46,16
164.0,440,0,46,16
165.0,440,0,46,16
166.0,440,0,46,16
167.0,440,0,46,16
168.0,440,0,46,16
169.0,440,0,46,16
170.0,440,0,46,16
171.0,440,0,46,16
172.0,440,0,46,16
173.0,440,0,46,16
174.0,440,0,46,16
175.0,440,0,46,16
176.0,440,0,46,16
177.0,440,0,46,16
178.0,440,0,46,16
179.0,440,0,46,16
180.0,440,0,46,16
181.0,440,0,46,16
182.0,440,0,46,16
183.0,440,0,46,16
184.0,440,0,46,16
185.0,440,0,46,16
186.0,440,0,46,16
187.0,440,0,46,16
188.0,440,0,46,16
189.0,440,0,46,16
190.0,440,0,46,16
191.0,440,0,46,16
192.0,440,0,46,16
193.0,440,0,46,16
194.0,440,0,46,16
195.0,440,0,46,16
196.0,440,0,46,16
197.0,440,0,46,16
198.0,440,0,46,16
199.0,440,0,46,16
200.0,440,0,46,16
201.0,440,0,46,16
202.0,440,0,46,16
203.0,440,0,46,16
204.0,440,0,46,16
205.0,440,0,46,16
206.0,440,0,46,16
207.0,440,0,46,16
208.0,440,0,46,16
209.0,440,0,46,16
210.0,440,0,46,16
211.0,440,0,46,16
212.0,440,0,46,16
213.0,440,0,46,16
214.0,440,0,46,16
215.0,440,0,46,16
