Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.2,499.8,0.0,0.5
0.0,2.4,499.6,0.0,1.0
0.0,2.4,499.6,0.0,1.5
0.0,3.0,499.0,0.0,2.0
0.0,3.2,498.6,0.2,2.5
0.0,3.4,498.2,0.4,3.0
0.0,3.6,497.8,0.6,3.5
0.0,4.0,497.4,0.6,4.0
0.0,4.2,497.2,0.6,4.5
0.0,4.6,496.8,0.6,5.0
0.0,4.6,496.8,0.6,5.5
0.0,5.0,496.4,0.6,6.0
0.0,5.4,496.0,0.6,6.5
0.0,5.6,495.8,0.6,7.0
0.0,6.0,495.4,0.6,7.5
0.0,7.0,494.4,0.6,8.0
0.0,7.0,494.0,1.0,8.5
0.0,7.4,493.6,1.0,9.0
0.0,7.6,493.0,1.4,9.5
0.0,7.8,492.6,1.6,10.0
0.0,8.0,492.4,1.6,10.5
0.0,8.8,491.6,1.6,11.0
0.0,9.6,490.8,1.6,11.5
0.0,10.0,490.2,1.8,12.0
0.0,10.8,489.2,2.0,12.5
0.0,11.4,488.4,2.2,13.0
0.0,11.4,488.4,2.2,13.5
0.0,12.0,487.8,2.2,14.0
0.0,12.4,487.4,2.2,14.5
0.0,11.8,487.4,2.8,15.0
0.0,12.6,486.6,2.8,15.5
0.0,13.6,485.6,2.8,16.0
0.0,14.2,484.6,3.2,16.5
0.0,14.2,484.2,3.6,17.0
0.0,15.6,482.8,3.6,17.5
0.0,16.0,482.0,4.0,18.0
0.0,15.8,481.4,4.8,18.5
0.0,15.8,481.0,5.2,19.0
0.0,16.0,480.4,5.6,19.5
0.0,15.2,480.4,6.4,20.0
0.0,15.0,480.2,6.8,20.5
0.0,14.2,480.0,7.8,21.0
0.2,14.0,479.8,8.0,21.5
0.2,15.0,478.8,8.0,22.0
0.2,15.4,477.6,8.8,22.5
0.2,15.4,477.4,9.0,23.0
0.2,15.6,477.2,9.0,23.5
0.2,15.8,476.2,9.8,24.0
0.2,16.0,476.0,9.8,24.5
0.4,16.8,474.8,10.0,25.0
0.6,17.2,474.0,10.2,25.5
0.6,18.0,473.0,10.4,26.0
0.8,17.8,472.6,10.8,26.5
1.2,17.4,472.4,11.0,27.0
1.2,18.0,471.6,11.2,27.5
1.4,18.2,471.2,11.2,28.0
